Browsing	Carlson Library Browsing Collection
Carl Main	Carlson Library Carlson Circulation
Carl-f	Carlson Library Carlson Folios Collection
Carl Juv	Carlson Library Carlson Juvenile Collection
Juv Ovrsvd	Carlson Library Carlson Juvenile Oversized Collection
Carl-3	Carlson Library Carlson Main Level 3
Carl-qz	Carlson Library Carlson Quarto Z Collection
Carl-q	Carlson Library Carlson Quartos Collection
CarlTxtbk	Carlson Library Carlson Text Book Collection
Douglass	Carlson Library Douglass Collection
Ven Brows	Suhr Library Suhr Browsing Collection
Ven-f	Suhr Library Suhr Folios Collection
Ven Juv	Suhr Library Suhr Juvenile Collection
Ven-q	Suhr Library Suhr Quartos Collection
Ven Main	Suhr Library Suhr-Venango Circulation
Archives	Archives
Carl CD	Carlson CD Collection
Carl-fn	Carlson Folio N Collection
Carl-fz	Carlson Folio Z Collection
Carl Case	Carlson Juvenile Case Collection
Map Case	Carlson Map Cases
Carl-maps	Carlson Maps Collection
Carl Media	Carlson Media Collection
Microcards	Carlson Microcards Collection
Microfiche	Carlson Microfiche Collection
Microfilm	Carlson Microfilm Collection
Carl Ovrsz	Carlson Oversized Collection
Reference	Carlson Reference Collection
Carl Resv	Carlson Reserves
Carl VF	Carlson Vertical Files Collection
Chandler	Chandler Collection
Periodical	Periodical Collection
Spec Col	Special Collection
SpecArcv	Special Collection - Archives
SpecJuv	Special Collection - Juveniles
Spec Col-f	Special Folio Collection
Spec Col-q	Special Quarto Collection
Ven Maps	Suhr Maps Collection
Ven Mflm	Suhr Microfilm Collection
Ven Period	Suhr Periodicals Collection
Ven-q	Suhr Quartos Collection
Ven Ref	Suhr Reference Collection
Sresv	Suhr Reserves
Ven Spec	Suhr Special Collection
